from_vertex_id;to_vertex_id;weights;geom
12;13;0.011805;LINESTRING(37.616530 55.764848,37.616557 55.764809,37.616602 55.764749)
3956;3958;0.029084;LINESTRING(37.674000 55.766462,37.674249 55.766510,37.674440 55.766546)
19450;19451;0.013782;LINESTRING(37.567739 55.743774,37.567791 55.743710,37.567829 55.743661)
9521;9519;0.011639;LINESTRING(37.574881 55.753202,37.574918 55.753234,37.574983 55.753290)
2443;2444;0.047103;LINESTRING(37.675213 55.731075,37.675248 55.731056,37.675760 55.730784)
8398;8400;0.031556;LINESTRING(37.684705 55.743686,37.684818 55.743818,37.684923 55.743942)
15287;9538;0.014412;LINESTRING(37.648310 55.773423,37.648267 55.773450,37.648394 55.773510)
17595;16431;0.028749;LINESTRING(37.573304 55.772666,37.573095 55.772578,37.572931 55.772515)
17595;17499;0.019800;LINESTRING(37.573304 55.772666,37.573095 55.772578,37.573132 55.772555)
25233;25234;0.003976;LINESTRING(37.585785 55.738814,37.585815 55.738808,37.585847 55.738806)
19180;19182;0.036671;LINESTRING(37.673436 55.733243,37.673670 55.733356,37.673882 55.733456)
19180;9710;0.023610;LINESTRING(37.673436 55.733243,37.673670 55.733356,37.673629 55.733387)
17720;17721;0.051533;LINESTRING(37.592496 55.767267,37.592332 55.767151,37.591983 55.766904)
18228;18230;0.030413;LINESTRING(37.595729 55.757999,37.595809 55.757990,37.596205 55.757943)
23695;23696;0.019622;LINESTRING(37.614523 55.743311,37.614643 55.743170,37.614658 55.743152)
684;685;0.020978;LINESTRING(37.624923 55.772371,37.624939 55.772314,37.624977 55.772184)
20211;20212;0.032297;LINESTRING(37.679982 55.762731,37.680060 55.762966,37.680097 55.763013)
24720;22325;0.011291;LINESTRING(37.674944 55.773264,37.674997 55.773292,37.675071 55.773248)
24720;12883;0.006604;LINESTRING(37.674944 55.773264,37.674997 55.773292,37.674976 55.773306)
9430;9432;0.086505;LINESTRING(37.571191 55.748207,37.570159 55.748146,37.569839 55.748219)
2459;2461;0.016545;LINESTRING(37.683572 55.737029,37.683710 55.737014,37.683831 55.737001)
220;221;0.006940;LINESTRING(37.631323 55.760302,37.631319 55.760269,37.631323 55.760240)
9117;9118;0.048189;LINESTRING(37.580881 55.731674,37.580403 55.731540,37.580192 55.731481)
12811;12809;0.030794;LINESTRING(37.636516 55.745215,37.636564 55.745187,37.636848 55.745010)
21095;21133;0.034785;LINESTRING(37.578054 55.734836,37.578212 55.734907,37.578488 55.735032)
7527;7525;0.030188;LINESTRING(37.620763 55.768275,37.620631 55.768286,37.620285 55.768316)
21605;9247;0.008750;LINESTRING(37.566545 55.757098,37.566461 55.757099,37.566470 55.757130)
21605;21625;0.031205;LINESTRING(37.566545 55.757098,37.566461 55.757099,37.566047 55.757103)
7630;7631;0.011053;LINESTRING(37.621431 55.743464,37.621397 55.743531,37.621446 55.743541)
7630;25182;0.014765;LINESTRING(37.621431 55.743464,37.621397 55.743531,37.621367 55.743591)
14573;14574;0.039463;LINESTRING(37.661356 55.753859,37.661568 55.753606,37.661626 55.753538)
1618;3942;0.007743;LINESTRING(37.670141 55.765731,37.670205 55.765746,37.670257 55.765755)
1618;3978;0.008567;LINESTRING(37.670141 55.765731,37.670205 55.765746,37.670182 55.765782)
1618;5724;0.007868;LINESTRING(37.670141 55.765731,37.670205 55.765746,37.670227 55.765716)
4244;4242;0.087608;LINESTRING(37.669925 55.775486,37.669688 55.775372,37.668869 55.774968)
19477;19479;0.007221;LINESTRING(37.596979 55.757317,37.597016 55.757321,37.597091 55.757332)
1490;1491;0.086040;LINESTRING(37.631989 55.768550,37.632061 55.768533,37.633301 55.768319)
15011;19046;0.012309;LINESTRING(37.602229 55.744404,37.602189 55.744357,37.602126 55.744310)
15011;25083;0.010931;LINESTRING(37.602229 55.744404,37.602189 55.744357,37.602252 55.744327)
15011;25497;0.008112;LINESTRING(37.602229 55.744404,37.602189 55.744357,37.602226 55.744355)
15011;19041;0.011342;LINESTRING(37.602229 55.744404,37.602189 55.744357,37.602264 55.744385)
22509;9865;0.004722;LINESTRING(37.593848 55.735065,37.593824 55.735049,37.593814 55.735028)
4604;4605;0.003012;LINESTRING(37.621176 55.767255,37.621164 55.767243,37.621157 55.767230)
9935;9933;0.024626;LINESTRING(37.586021 55.737892,37.585977 55.737864,37.585756 55.737728)
4582;4583;0.005253;LINESTRING(37.686312 55.763124,37.686355 55.763130,37.686395 55.763128)
7193;11682;0.009455;LINESTRING(37.654663 55.741103,37.654736 55.741140,37.654773 55.741161)
6562;6563;0.020041;LINESTRING(37.602128 55.764132,37.602259 55.764067,37.602367 55.764013)
18690;18692;0.011975;LINESTRING(37.575800 55.737582,37.575882 55.737569,37.575987 55.737560)
19099;19101;0.028742;LINESTRING(37.606056 55.768254,37.606065 55.768226,37.606140 55.768000)
22221;22222;0.027111;LINESTRING(37.656607 55.754141,37.656605 55.754134,37.656503 55.753904)
6557;15850;0.026878;LINESTRING(37.598781 55.764236,37.598907 55.764284,37.599137 55.764371)
6557;24211;0.020021;LINESTRING(37.598781 55.764236,37.598907 55.764284,37.598804 55.764358)
2782;2780;0.018811;LINESTRING(37.587914 55.749206,37.587881 55.749247,37.587788 55.749359)
691;692;0.007264;LINESTRING(37.625175 55.771494,37.625184 55.771463,37.625194 55.771430)
4846;4844;0.003140;LINESTRING(37.620174 55.736572,37.620170 55.736558,37.620157 55.736547)
20663;20664;0.009645;LINESTRING(37.609369 55.749357,37.609321 55.749393,37.609286 55.749430)
1028;24131;0.066827;LINESTRING(37.655748 55.729640,37.655653 55.729609,37.654905 55.729273)
8847;8848;0.096261;LINESTRING(37.692550 55.759548,37.693767 55.759112,37.693846 55.759082)
8178;8176;0.012694;LINESTRING(37.677724 55.757047,37.677559 55.757046,37.677523 55.757053)
2752;2754;0.004343;LINESTRING(37.584846 55.747429,37.584869 55.747414,37.584896 55.747402)
10959;10960;0.015898;LINESTRING(37.662238 55.754181,37.662390 55.754152,37.662479 55.754135)
66;67;0.022745;LINESTRING(37.612999 55.747840,37.612776 55.747804,37.612652 55.747779)
22760;14019;0.018553;LINESTRING(37.578404 55.757492,37.578428 55.757568,37.578455 55.757656)
21006;21007;0.011098;LINESTRING(37.666741 55.739529,37.666884 55.739519,37.666917 55.739517)
13795;13793;0.004462;LINESTRING(37.575663 55.750974,37.575691 55.750984,37.575710 55.751003)
19273;19275;0.012875;LINESTRING(37.601751 55.773126,37.601696 55.773154,37.601598 55.773204)
3901;3903;0.016096;LINESTRING(37.628633 55.738941,37.628435 55.738918,37.628381 55.738912)
317;318;0.008469;LINESTRING(37.641774 55.756778,37.641787 55.756724,37.641792 55.756703)
15710;15711;0.016422;LINESTRING(37.613747 55.755993,37.613814 55.756054,37.613886 55.756118)
21203;9181;0.012432;LINESTRING(37.692742 55.773024,37.692619 55.773069,37.692647 55.773094)
21203;21205;0.047821;LINESTRING(37.692742 55.773024,37.692619 55.773069,37.692093 55.773251)
8253;8251;0.055564;LINESTRING(37.685373 55.742473,37.685708 55.742225,37.685912 55.742076)
24160;24161;0.009925;LINESTRING(37.655507 55.746144,37.655475 55.746157,37.655357 55.746162)
16078;16080;0.029483;LINESTRING(37.593202 55.772458,37.592983 55.772587,37.592877 55.772650)
13621;13623;0.064673;LINESTRING(37.612582 55.745117,37.613141 55.744713,37.613211 55.744655)
3078;3076;0.004122;LINESTRING(37.595644 55.758698,37.595664 55.758689,37.595691 55.758673)
17732;17733;0.020549;LINESTRING(37.598961 55.771482,37.598825 55.771440,37.598677 55.771389)
10591;10592;0.003372;LINESTRING(37.584513 55.759138,37.584486 55.759134,37.584460 55.759132)
24420;24422;0.010676;LINESTRING(37.587039 55.759920,37.586993 55.759839,37.586987 55.759828)
23097;19588;0.034172;LINESTRING(37.609936 55.761274,37.609796 55.761409,37.609655 55.761538)
7120;14955;0.047159;LINESTRING(37.667190 55.742455,37.666902 55.742282,37.666677 55.742144)
22241;10004;0.008906;LINESTRING(37.660504 55.734824,37.660457 55.734796,37.660395 55.734774)
22241;22236;0.008725;LINESTRING(37.660504 55.734824,37.660457 55.734796,37.660525 55.734807)
25278;25276;0.019421;LINESTRING(37.650839 55.753237,37.650853 55.753287,37.650886 55.753410)
18343;18344;0.002287;LINESTRING(37.625808 55.729818,37.625818 55.729810,37.625830 55.729802)
158;17695;0.017950;LINESTRING(37.641551 55.733390,37.641462 55.733345,37.641341 55.733280)
2276;25128;0.097868;LINESTRING(37.620089 55.730027,37.620217 55.730032,37.621649 55.729986)
22894;22226;0.003618;LINESTRING(37.667748 55.768482,37.667731 55.768492,37.667709 55.768506)
7401;7402;0.008753;LINESTRING(37.594005 55.737625,37.594047 55.737608,37.594120 55.737581)
9082;9083;0.047092;LINESTRING(37.579982 55.728883,37.580337 55.729020,37.580603 55.729122)
5887;5889;0.003174;LINESTRING(37.625874 55.744469,37.625877 55.744481,37.625886 55.744496)
11974;11972;0.016836;LINESTRING(37.630507 55.738241,37.630505 55.738245,37.630435 55.738387)
9645;9647;0.017472;LINESTRING(37.684519 55.768921,37.684660 55.768929,37.684798 55.768934)
14063;14064;0.014802;LINESTRING(37.576634 55.739101,37.576487 55.739118,37.576402 55.739128)
19760;19758;0.016267;LINESTRING(37.645150 55.746371,37.645171 55.746360,37.645338 55.746270)
10883;10885;0.028776;LINESTRING(37.673813 55.741513,37.673861 55.741516,37.674269 55.741544)
3812;3813;0.022866;LINESTRING(37.628711 55.734446,37.628426 55.734371,37.628380 55.734359)
22035;22033;0.033341;LINESTRING(37.641852 55.773101,37.642186 55.772952,37.642269 55.772914)
10111;10112;0.012343;LINESTRING(37.600156 55.746510,37.600104 55.746589,37.600091 55.746615)
9588;9586;0.008014;LINESTRING(37.660242 55.763172,37.660155 55.763198,37.660127 55.763204)
23835;23836;0.007658;LINESTRING(37.625512 55.729143,37.625540 55.729173,37.625559 55.729206)
7711;7713;0.003878;LINESTRING(37.627055 55.740069,37.627060 55.740058,37.627058 55.740034)
447;448;0.038379;LINESTRING(37.635876 55.762037,37.635992 55.762089,37.636355 55.762252)
15197;15199;0.020184;LINESTRING(37.575915 55.759976,37.575924 55.760014,37.575955 55.760156)
3890;3888;0.010563;LINESTRING(37.631421 55.737554,37.631410 55.737552,37.631264 55.737520)
11550;11552;0.075975;LINESTRING(37.696837 55.733425,37.696606 55.733125,37.696354 55.732798)
5624;5625;0.028688;LINESTRING(37.582909 55.755252,37.582532 55.755246,37.582451 55.755245)
15159;15161;0.023752;LINESTRING(37.575765 55.757387,37.575844 55.757572,37.575851 55.757595)
17369;17644;0.013618;LINESTRING(37.626059 55.773606,37.625915 55.773617,37.625843 55.773623)
17569;17570;0.030837;LINESTRING(37.577798 55.770106,37.578136 55.770066,37.578281 55.770049)
1543;1541;0.008909;LINESTRING(37.661332 55.764955,37.661241 55.764972,37.661200 55.764984)
8165;8167;0.005002;LINESTRING(37.677325 55.757217,37.677324 55.757195,37.677331 55.757172)
17567;17568;0.042748;LINESTRING(37.576355 55.770277,37.576586 55.770249,37.577023 55.770197)
4048;4050;0.010914;LINESTRING(37.643910 55.734364,37.643989 55.734327,37.644059 55.734319)
12736;12738;0.018060;LINESTRING(37.641400 55.738771,37.641355 55.738884,37.641337 55.738929)
13931;13929;0.017153;LINESTRING(37.569569 55.760535,37.569420 55.760575,37.569321 55.760601)
17548;17546;0.073771;LINESTRING(37.574733 55.767755,37.574729 55.767837,37.574701 55.768418)
12265;13309;0.109096;LINESTRING(37.693665 55.756058,37.693840 55.756038,37.695160 55.755565)
9590;9588;0.010484;LINESTRING(37.660390 55.763127,37.660330 55.763146,37.660242 55.763172)
22980;22981;0.012245;LINESTRING(37.642742 55.750138,37.642852 55.750131,37.642935 55.750121)
4346;4348;0.005251;LINESTRING(37.673730 55.757018,37.673695 55.756983,37.673685 55.756978)
21536;21537;0.014420;LINESTRING(37.652979 55.762587,37.653126 55.762668,37.653144 55.762678)
